Name,Gender,Race,URL
A Young Brandybuck,Male,Hobbit,https://lotro-wiki.com/wiki/A_Young_Brandybuck
A Young Took,Male,Hobbit,https://lotro-wiki.com/wiki/A_Young_Took
Aarnikka,Male,Earth-kin,https://lotro-wiki.com/wiki/Aarnikka
Abandoned Den,Male,Men,https://lotro-wiki.com/wiki/Abandoned_Den
Abandoned Waggon,Male,Men,https://lotro-wiki.com/wiki/Abandoned_Waggon
Abb,Male,Man,https://lotro-wiki.com/wiki/Abb
Aberthol,Male,Man,https://lotro-wiki.com/wiki/Aberthol
Aboki,Male,Dwarf,https://lotro-wiki.com/wiki/Aboki
Abraiz,Male,Variag,https://lotro-wiki.com/wiki/Abraiz
Acca,Male,Man,https://lotro-wiki.com/wiki/Acca
Accessory,Male,Men,https://lotro-wiki.com/wiki/Accessory
Accursed Warrior,Male,Men,https://lotro-wiki.com/wiki/Accursed_Warrior
Acdreda,Male,Man,https://lotro-wiki.com/wiki/Acdreda
Achardor,Male,Elf,https://lotro-wiki.com/wiki/Achardor
Aculf,Male,Race of Man,https://lotro-wiki.com/wiki/Aculf
Ada Musgrove,Female,Man,https://lotro-wiki.com/wiki/Ada_Musgrove
Adadhrond,Male,Man,https://lotro-wiki.com/wiki/Adadhrond
Adalfon,Male,Man,https://lotro-wiki.com/wiki/Adalfon
Adalgifu,Female,Race of Man,https://lotro-wiki.com/wiki/Adalgifu
Adalgrim Goodbody,Male,Hobbit,https://lotro-wiki.com/wiki/Adalgrim_Goodbody
Adalmód,Male,Race of Man,https://lotro-wiki.com/wiki/Adalm%C3%B3d
Adamanda North-took,Female,Hobbit,https://lotro-wiki.com/wiki/Adamanda_North-took
Adan Rhuvyg,Male,Hobbit,https://lotro-wiki.com/wiki/Adan_Rhuvyg
Adaric Burrows,Male,Hobbit,https://lotro-wiki.com/wiki/Adaric_Burrows
Adbert,Male,Race of Man,https://lotro-wiki.com/wiki/Adbert
Addie Wheatley,Female,Man,https://lotro-wiki.com/wiki/Addie_Wheatley
Addo Benchuth,Male,Hobbit,https://lotro-wiki.com/wiki/Addo_Benchuth
Addy Rushtuft,Female,Race of Men,https://lotro-wiki.com/wiki/Addy_Rushtuft
Adela Topper,Female,Man,https://lotro-wiki.com/wiki/Adela_Topper
Adelaide Bussey,Female,Man,https://lotro-wiki.com/wiki/Adelaide_Bussey
Adelard Took,Male,Hobbit,https://lotro-wiki.com/wiki/Adelard_Took
Adelgar Brandybuck,Male,Hobbit,https://lotro-wiki.com/wiki/Adelgar_Brandybuck
Adept Flutist,Male,Men,https://lotro-wiki.com/wiki/Adept_Flutist
Adept Harper,Male,Men,https://lotro-wiki.com/wiki/Adept_Harper
Adgyth,Female,Man,https://lotro-wiki.com/wiki/Adgyth
Adleithian,Male,Man,https://lotro-wiki.com/wiki/Adleithian
Adnoth,Man,Race of Man,https://lotro-wiki.com/wiki/Adnoth
Adolinda,Female,Man,https://lotro-wiki.com/wiki/Adolinda
Adraminta Woodrose,Female,Hobbit,https://lotro-wiki.com/wiki/Adraminta_Woodrose
Adro Underdelf,Male,Hobbit,https://lotro-wiki.com/wiki/Adro_Underdelf
Adsiltia Madcorf,Female,Hobbit,https://lotro-wiki.com/wiki/Adsiltia_Madcorf
Adso Haybank,Male,Hobbit,https://lotro-wiki.com/wiki/Adso_Haybank
Adult Bear,Male,Men,https://lotro-wiki.com/wiki/Adult_Bear
Adventurer's Quartermaster,Male,Dwarf,https://lotro-wiki.com/wiki/Adventurer%27s_Quartermaster
Adwold,Male,Man,https://lotro-wiki.com/wiki/Adwold
Adwyn Flame-eye,Male,Dwarf,https://lotro-wiki.com/wiki/Adwyn_Flame-eye
Aecthor,Male,Elf,https://lotro-wiki.com/wiki/Aecthor
Aedh,Male,Man,https://lotro-wiki.com/wiki/Aedh
Aegoniel,Female,Elf,https://lotro-wiki.com/wiki/Aegoniel
Aegúrel,Female,Elf,https://lotro-wiki.com/wiki/Aeg%C3%BArel
Aeleth,Female,Elf,https://lotro-wiki.com/wiki/Aeleth
Aelnir,Male,Gondorian,https://lotro-wiki.com/wiki/Aelnir
Aemeldir,Male,Elf,https://lotro-wiki.com/wiki/Aemeldir
Aerhant,Male,Man,https://lotro-wiki.com/wiki/Aerhant
Aerin,Female,Race of Man,https://lotro-wiki.com/wiki/Aerin
Aerin,Female,Race of Man,https://lotro-wiki.com/wiki/Aerin
Aerlinn,Female,Man,https://lotro-wiki.com/wiki/Aerlinn
Aerona,Female,Man,https://lotro-wiki.com/wiki/Aerona
Aeronwy,Male,Man,https://lotro-wiki.com/wiki/Aeronwy
Aesbrennil,Female,Man,https://lotro-wiki.com/wiki/Aesbrennil
Aesgyl,Male,Elf,https://lotro-wiki.com/wiki/Aesgyl
Aesseledh,Male,Elf,https://lotro-wiki.com/wiki/Aesseledh
Aesseryn,Male,Men,https://lotro-wiki.com/wiki/Aesseryn
Aessoneth,Female,Elf,https://lotro-wiki.com/wiki/Aessoneth
Afanen,Female,Man,https://lotro-wiki.com/wiki/Afanen
Afic,Male,Race of Man,https://lotro-wiki.com/wiki/Afic
Aflur Smokebeard,Male,Dwarf,https://lotro-wiki.com/wiki/Aflur_Smokebeard
Afwald,Male,Dwarf,https://lotro-wiki.com/wiki/Afwald
Afárr,Male,Dwarf,https://lotro-wiki.com/wiki/Af%C3%A1rr
Agatha Greendale,Female,Man,https://lotro-wiki.com/wiki/Agatha_Greendale
Agela,Female,Race of Man,https://lotro-wiki.com/wiki/Agela
Agelbrit,Male,Race of Man,https://lotro-wiki.com/wiki/Agelbrit
Agelman,Male,Man,https://lotro-wiki.com/wiki/Agelman
Agelric,Male,Race of Man,https://lotro-wiki.com/wiki/Agelric
Agelwyn,Female,Man,https://lotro-wiki.com/wiki/Agelwyn
Aggie Honeysuckle,Female,Man,https://lotro-wiki.com/wiki/Aggie_Honeysuckle
Aggy Digweed,Female,Man,https://lotro-wiki.com/wiki/Aggy_Digweed
Aglallen,Male,Elf,https://lotro-wiki.com/wiki/Aglallen
Aglarang,Male,Man,https://lotro-wiki.com/wiki/Aglarang
Aglardir,Male,Elf,https://lotro-wiki.com/wiki/Aglardir
Aglinn,Male,Dwarf,https://lotro-wiki.com/wiki/Aglinn
Agmund,Male,Men,https://lotro-wiki.com/wiki/Agmund
Agnar Brokentooth,Male,Dwarf,https://lotro-wiki.com/wiki/Agnar_Brokentooth
Agnar,Male,Men,https://lotro-wiki.com/wiki/Agnar
Agnes Martlet,Female,Man,https://lotro-wiki.com/wiki/Agnes_Martlet
Agorin,Female,Elf,https://lotro-wiki.com/wiki/Agorin
Agátur the Boastful,Male,Men,https://lotro-wiki.com/wiki/Ag%C3%A1tur_the_Boastful
Éothéod,Male,Men,https://lotro-wiki.com/wiki/Ai-th%C3%BAda
Aighrig,Female,Man,https://lotro-wiki.com/wiki/Aighrig
Aighrig,Female,Man,https://lotro-wiki.com/wiki/Aighrig
Aiglos,Male,Men,https://lotro-wiki.com/wiki/Aiglos
Ailing Reveller,Male,Men,https://lotro-wiki.com/wiki/Ailing_Reveller
Ailing Reveller,Male,Men,https://lotro-wiki.com/wiki/Ailing_Reveller
Ailing Stout-axe,Male,Dwarf,https://lotro-wiki.com/wiki/Ailing_Stout-axe
Ailward Chubb,Male,Hobbit,https://lotro-wiki.com/wiki/Ailward_Chubb
Ailín,Female,Man,https://lotro-wiki.com/wiki/Ail%C3%ADn
Ainhard,Male,Race of Man,https://lotro-wiki.com/wiki/Ainhard
Aithil,female,Man,https://lotro-wiki.com/wiki/Aithil
Akhrûn,Female,Man,https://lotro-wiki.com/wiki/Akhr%C3%BBn
Akshir,Male,Men,https://lotro-wiki.com/wiki/Akshir
Alagwen,Female,Elf,https://lotro-wiki.com/wiki/Alagwen
Albert Yule,Male,Man,https://lotro-wiki.com/wiki/Albert_Yule
Albin Northcotton,Male,Hobbit,https://lotro-wiki.com/wiki/Albin_Northcotton
Albra Lowbanks,Female,Hobbit,https://lotro-wiki.com/wiki/Albra_Lowbanks
Albryc Long-foot,Male,Dwarf,https://lotro-wiki.com/wiki/Albryc_Long-foot
Albryt,Male,Race of Man,https://lotro-wiki.com/wiki/Albryt
Aldbéort,Male,Race of Man,https://lotro-wiki.com/wiki/Aldb%C3%A9ort
Alder Appleblossom,Male,Men,https://lotro-wiki.com/wiki/Alder_Appleblossom
Aldin,Dwarf,Dwarf,https://lotro-wiki.com/wiki/Aldin
Aldith Bauman,Female,Man,https://lotro-wiki.com/wiki/Aldith_Bauman
